scenario,encoder,algorithm,rmse_mean,rmse_std,r2_mean,r2_std,number_features
S3_With_Boruta_No_Encoding,CatBoostEncoder,RandomForest,25981.14645832099,1389.2485737511427,0.8931003381406114,0.015100383568735519,34
S3_With_Boruta_No_Encoding,CatBoostEncoder,XGBoost,25249.193186623987,2025.602319774134,0.8984996875127157,0.019125465520428677,34
S3_With_Boruta_No_Encoding,CatBoostEncoder,LGBM,24960.109003206377,305.00182907248166,0.9018016318695617,0.007978270509889017,34
S3_With_Boruta_No_Encoding,JamesSteinEncoder,RandomForest,25981.14645832099,1389.2485737511427,0.8931003381406114,0.015100383568735519,34
S3_With_Boruta_No_Encoding,JamesSteinEncoder,XGBoost,25249.193186623987,2025.602319774134,0.8984996875127157,0.019125465520428677,34
S3_With_Boruta_No_Encoding,JamesSteinEncoder,LGBM,24960.109003206377,305.00182907248166,0.9018016318695617,0.007978270509889017,34
S3_With_Boruta_No_Encoding,GLMMEncoder,RandomForest,25981.14645832099,1389.2485737511427,0.8931003381406114,0.015100383568735519,34
S3_With_Boruta_No_Encoding,GLMMEncoder,XGBoost,25249.193186623987,2025.602319774134,0.8984996875127157,0.019125465520428677,34
S3_With_Boruta_No_Encoding,GLMMEncoder,LGBM,24960.109003206377,305.00182907248166,0.9018016318695617,0.007978270509889017,34
S4_With_Boruta_With_Encoding,TargetEncoder,RandomForest,25530.932480406234,851.3768157172536,0.8970988623881518,0.010797061925464865,34
S4_With_Boruta_With_Encoding,TargetEncoder,XGBoost,25012.615531489766,1306.5160825175315,0.9012269775072733,0.011641224048525052,34
S4_With_Boruta_With_Encoding,TargetEncoder,LGBM,24077.639654955576,653.835891636303,0.9089618319172588,0.0010752285838517659,34
S4_With_Boruta_With_Encoding,CatBoostEncoder,RandomForest,26408.04711474485,1199.1898133753598,0.8898039275989437,0.013183532420820477,24
S4_With_Boruta_With_Encoding,CatBoostEncoder,XGBoost,27181.66523123822,2046.4989429662442,0.883422056833903,0.01623023740345954,24
S4_With_Boruta_With_Encoding,CatBoostEncoder,LGBM,25162.73495394137,166.65564436582392,0.9002556695752387,0.007168785871117213,23
S4_With_Boruta_With_Encoding,JamesSteinEncoder,RandomForest,25602.960246803515,946.748942965999,0.8965186931223438,0.011028751634899067,34
S4_With_Boruta_With_Encoding,JamesSteinEncoder,XGBoost,25019.157641076104,1621.7197448952134,0.9013635516166687,0.01159358156528939,34
S4_With_Boruta_With_Encoding,JamesSteinEncoder,LGBM,24332.28340412313,323.8889936088726,0.9069168956703346,0.003433420963641946,34
S4_With_Boruta_With_Encoding,GLMMEncoder,RandomForest,25508.53173238273,1056.6925140497221,0.8972084060589122,0.011852306958219448,34
S4_With_Boruta_With_Encoding,GLMMEncoder,XGBoost,25553.888600401133,2328.404045325701,0.8964363733927408,0.018844483809258076,34
S4_With_Boruta_With_Encoding,GLMMEncoder,LGBM,23790.69276157475,680.1756535041109,0.9110989863907443,0.002410633856351749,34
